Time, Joy, Sadness, Disgust, Contempt, Anger, Fear, Surprise, Valence, Engagement 
10,100,0,0,0,0,0,0,6,100
10,100,0,0,0,0,0,0,6,100
10,100,0,0,0,0,0,0,8,100
10,100,0,0,0,0,0,0,11,100
10,100,0,0,0,0,0,0,16,100
10,100,0,0,0,0,0,0,20,100
10,100,0,0,0,0,0,0,23,100
15,0,0,0,0,0,0,1,-55,41
15,0,0,0,0,0,0,1,-54,40
15,0,0,0,0,0,0,1,-58,42
15,0,0,0,0,0,0,1,-58,38
15,0,0,0,0,0,0,1,-56,31
15,0,0,0,0,0,0,2,-56,30
15,0,0,0,0,0,0,2,-54,27
20,0,0,100,0,0,0,87,-100,99
25,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
25,100,0,0,0,0,0,0,94,100
25,100,0,0,0,0,0,0,93,100
25,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
25,100,0,0,0,0,0,0,95,100
25,0,0,0,0,0,0,0,0,0
30,0,0,2,0,0,0,2,-8,0
30,0,0,2,0,0,0,2,-13,0
30,0,0,2,0,0,0,2,-18,0
30,0,0,3,0,0,0,2,-23,0
30,0,0,4,0,0,0,2,-31,0
30,0,0,5,0,0,0,3,-38,1
30,0,0,8,0,0,0,4,-50,1
35,0,0,0,0,0,0,0,-34,49
35,0,0,0,0,0,0,0,-23,37
35,0,0,0,0,0,0,0,-7,4
35,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
50,0,0,1,0,0,0,4,-61,50
50,0,0,1,0,0,0,3,-60,39
50,0,0,1,0,0,0,3,-60,37
50,0,0,1,0,0,0,3,-60,34
50,0,0,1,0,0,0,3,-61,35
50,0,0,1,0,0,0,3,-61,37
50,0,0,1,0,0,0,3,-61,37
55,0,0,8,0,0,0,2,0,44
55,0,0,13,0,0,0,2,-1,64
55,0,0,4,0,0,0,2,0,37
55,0,0,2,0,0,0,2,0,31
55,0,0,2,0,0,0,2,0,38
55,0,0,2,0,0,0,4,0,48
55,0,0,2,0,0,0,7,0,61
55,0,0,2,0,0,3,13,0,74
60,2,0,26,0,0,0,6,0,94
60,4,0,16,0,0,0,6,1,93
60,13,0,15,0,0,0,6,7,95
60,74,0,12,0,0,0,7,23,97
60,93,0,8,0,0,0,7,33,98
60,98,0,6,0,0,0,7,46,99
60,99,0,4,0,0,0,7,55,99
60,100,0,3,0,0,0,7,59,100
65,0,0,1,0,0,0,2,-67,50
65,0,0,2,0,0,0,3,-66,50
65,0,0,2,0,0,0,5,-67,50
65,0,0,2,0,0,0,7,-67,50
65,0,0,2,0,0,0,9,-67,50
65,0,0,2,0,0,0,11,-67,50
65,0,0,2,0,0,0,11,-68,50
65,0,0,2,0,0,0,12,-68,50
70,0,0,0,1,7,0,0,-100,50
70,0,0,0,1,7,0,0,-100,50
70,0,0,0,1,7,0,0,-100,50
70,0,0,0,0,7,0,0,-100,50
70,0,0,0,0,7,0,0,-100,50
70,0,0,0,0,7,0,0,-100,50
70,0,0,0,0,7,0,0,-100,50
75,0,0,55,0,0,0,3,-15,71
75,0,0,55,0,0,0,3,-17,72
75,0,0,62,0,0,0,3,-20,77
75,0,0,55,0,0,0,3,-17,77
75,0,0,74,0,0,0,3,-25,83
75,0,0,80,0,0,0,3,-30,86
75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0
85,0,0,1,0,0,0,6,-63,43
85,0,0,1,0,0,0,5,-62,42
85,0,0,1,0,0,0,3,-62,41
85,0,0,1,0,0,0,2,-61,39
85,0,0,1,0,0,0,1,-59,36
85,0,0,1,0,0,0,1,-55,27
85,0,0,1,0,0,0,0,-50,20
90,0,0,0,0,0,0,0,9,2
90,0,0,0,0,0,0,0,13,5
90,0,0,0,0,0,0,0,14,7
90,0,0,0,0,0,0,0,11,8
90,1,0,0,0,0,0,0,11,12
90,0,0,0,0,0,0,0,3,11
90,0,0,0,0,0,0,0,0,10
90,0,0,0,0,0,0,0,0,8
